company_confidence,opd_device,fda_device,opd_company,fda_company,dataset_type,stop_words_used,tfidf_score,fuzzy_token_set_score,levenshtein_score,jaro_winkler_score,opd_metadata_2017,opd_metadata_2018,opd_metadata_2019,opd_metadata_2020,opd_metadata_2021,opd_metadata_2022,opd_metadata_2023,opd_metadata_total,fda_metadata_dateoffinaldecision,fda_metadata_panellead,fda_metadata_primaryproductcode,id,match_human
Medium,7d surgical system,7D Surgical System Cranial Biopsy and Ventricular Catheter Placement Application,7D Surgical ULC,7D Surgical Inc.,General Payments,system,31.28000069,100,37,84.5,0,0,0,0,17291.35742,228.1191406,0,17519.47656,11/27/2019,Neurology,HAW,1,
High,7d surgical system,7D Surgical System Cranial Biopsy and Ventricular Catheter Placement Application,7D Surgical Inc.,7D Surgical Inc.,General Payments,system,31.28000069,100,37,84.5,0,0,643.6407471,0,0,0,0,643.6407471,11/27/2019,Neurology,HAW,2,
High,acuson sequoia diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,system,79.84999847,100,48,86.27999878,0,0,0,0,78873.70313,276249.0625,18879,374001.75,10/30/2023,Radiology,IYN,3,
High,acuson sequoia diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,79.84999847,100,48,86.27999878,0,0,0,2516.510254,35130.25781,14228.13965,47404.65625,99279.5625,10/30/2023,Radiology,IYN,4,
High,diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,57.27000046,100,34,58,0,0,0,0,0,109.1660995,315.4333191,424.5994263,10/30/2023,Radiology,IYN,5,
High,acuson s2000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,44.41999817,92,42,59.79999924,0,0,0,0,7590.719727,5283.972168,517.5033569,13392.19531,10/30/2023,Radiology,IYN,6,
High,acuson redwood diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,system,44.41999817,90,47,66.58999634,0,0,0,0,8226.740234,0,0,8226.740234,10/30/2023,Radiology,IYN,7,
High,acuson p500 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,44.41999817,93,41,60.06000137,0,0,0,0,145.8383484,258.0422058,18.61000061,422.4905701,10/30/2023,Radiology,IYN,8,
High,acuson nx3 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,44.41999817,95,42,61.34999847,0,0,0,0,0,68.30039215,35.34000015,103.6403885,10/30/2023,Radiology,IYN,9,
High,acuson s3000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,44.41999817,92,42,59.79999924,0,0,0,0,34.97151947,0,2380,2414.971436,10/30/2023,Radiology,IYN,10,
High,acuson redwood diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,44.41999817,90,47,66.58999634,0,0,0,0,280.885376,1267.451172,3621.643311,5169.97998,10/30/2023,Radiology,IYN,11,
High,acuson juniper diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,system,44.41999817,90,46,62.08000183,0,0,0,0,4497.944336,0,0,4497.944336,10/30/2023,Radiology,IYN,12,
High,acuson juniper diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",General Payments,system,44.41999817,90,46,62.08000183,0,0,0,0,182.1442566,265.9654846,279.4333191,727.5430908,10/30/2023,Radiology,IYN,13,
High,acuson sc2000 diagnostic ultrasound system,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.","Siemens Medical Solutions USA, Inc.",Research Payments,system,44.41999817,91,42,63.97000122,0,0,0,0,28202.11133,0,0,28202.11133,10/30/2023,Radiology,IYN,14,
